Aeg,Kasutaja päring,Filtrid,Leitud ID-d,Leitud ained,LLM Vastus,Hinnang,Veatüüp
2026-03-01 18:23:59,kursused õpetajate jaoks,"EAP:(0.0, 36.0), Sem:[], Hind:[], Linn:[], Aste:[], Veeb:[], Eeldusaineteta:False","['FLGR.01.381', 'HTHT.00.152', 'FLGR.01.362', 'LOOM.02.203', 'LTMS.00.053']",[],"
Siin on kursuste nimekiri õpetajatele, mis on saadaval andmebaasis:

*   **Inglise keele didaktika II** (English Language Teaching II)
*   **Suhtlemispsühholoogia baaskursus õpetajale** (Basic Course of Communication Psychology for Teachers)
*   **Inglise keele didaktika I** (English Language Teaching I)
*   **Üldmaateadus õpetajatele** (Physical Geography for Teachers)
*   **Hariduspsühholoogiast matemaatikaõpetajale** (Educational Psychology for Mathematics Teachers)",👍 Hea,
2026-03-01 18:24:30,matemaatika õpetaja jaoks,"EAP:(0.0, 36.0), Sem:[], Hind:[], Linn:[], Aste:[], Veeb:[], Eeldusaineteta:False","['LTMS.00.053', 'HTHT.02.048', 'HTHT.02.049', 'MTMM.00.324', 'LTMS.00.089']",[],"
Siin on kursused, mis võivad matemaatika õpetajale huvi pakkuda:

*   **Hariduspsühholoogiast matemaatikaõpetajale (LTMS.00.053)**: Annab ülevaate hariduspsühholoogiast matemaatika õpetamise kontekstis.
*   **Matemaatika didaktika I (HTHT.02.048)**: Vaatleb matemaatika didaktika üldisi küsimusi ja matemaatika õpetamise psühholoogilisi probleeme, keskendudes I kooliastmele.
*   **Matemaatika didaktika II (HTHT.02.049)**: Tutvustab õpetamismeetodeid ja töövorme II kooliastme jaoks. Eeldab Matemaatika didaktika I läbimist või samaväärset ainet.
*   **Matemaatika õpetamise metoodika seminar (LTMS.00.089)**: Seminar keskendub matemaatika õpetamise metoodika ja didaktikaga seotud uurimisküsimustele. Sobib magistri- ja doktoritöö tegijatele.
*   **Sissejuhatus matemaatika erialasse (MTMM.00.324)**: Tutvustab matemaatika erinevaid valdkondi ja rakendusi.",👍 Hea,
2026-03-01 18:25:49,startupi juhtimine,"EAP:(0.0, 36.0), Sem:[], Hind:[], Linn:[], Aste:[], Veeb:[], Eeldusaineteta:False","['SVPC.01.074', 'MTAT.03.293', 'SVMJ.02.005', 'MJJV.07.083', 'LTAT.05.040']",[],"
Vabandan, aga andmebaasis ei leidu kursust, mille nimi oleks ""startupi juhtimine"". Küll on olemas järgmised kursused, mis võiksid olla sinu jaoks asjakohased:

*   **Ettevõtlusega alustamine** (1263): Annab teadmised äriideede arendamisest, analüüsimisest, hindamisest ja rakendamisest, digitaalse tehnoloogia kasutamisest ettevõtluses, finantsplaneetimisest ja riskianalüüsist.
*   **Sissejuhatus tarkvaraettevõtlusse** (76): Õpetab leidma ja analüüsima probleemolukordi, mille lahendamiseks saab kasutada tarkvara või teenust, ja luuma algse prototüübi.
*   **Teadmuspõhine iduettevõtlus** (2510): Annab ülevaate teadmuspõhise ettevõtluse põhimõtetest, ärimudelitest ja rahvusvahelistumisest.
*   **Innovatsiooni juhtimine** (1624): Kujundab arusaama innovatsioonist kui protsessist ja annab teadmised innovatsiooni juhtimisest erinevatel tasanditel.
*   **Disainmõtlemine ja ärimodelleerimine** (3128): Annab ülevaate tarkvaratoodete juhtimise protsessi korralduse võimalustest ja praktilistest probleemidest.

Milline neist tundub sulle kõige enam huvi pakkuv? Või mida sa konkreetselt start-up'i juhtimisest teada tahad?
",👍 Hea,
2026-03-01 18:26:43,idufirma alused,"EAP:(0.0, 36.0), Sem:[], Hind:[], Linn:[], Aste:[], Veeb:[], Eeldusaineteta:False","['FLEE.07.182', 'ARFA.02.116', 'LTBI.00.023', 'ARFA.02.103', 'ARFA.01.078']",[],"

Vabandust, andmebaasis puuduvad kursused, mis käsitleksid ""startupi juhtimist"" või ""idufirma aluseid"". 

Saadaval on järgmised kursused:

*   **FLEE.07.182 Kaugemad sugulaskeeled I**
*   **ARFA.02.116 Uurimistöö seminar farmatseutilisest tehnoloogiast**
*   **LTBI.00.023 Icosageni sponsoreeritud praktiline kursus**
*   **ARFA.02.103 Farmatseutilised abiained**
*   **ARFA.01.078 Uurimistöö seminar farmakognoosiast**

Kas teist mõni neist teid huvitab?",👎 Halb,Otsing leidis valed ained (RAG viga)
2026-03-01 18:27:46,muusika loomine' ,"EAP:(0.0, 36.0), Sem:[], Hind:[], Linn:[], Aste:[], Veeb:[], Eeldusaineteta:False","['P2VK.02.510', 'HVVK.02.111', 'HVVK.02.112', 'P2VK.02.728', 'P2VK.05.144']",[],"
Vabandust, aga andmebaasis ei ole otsest vastet sõnale ""muusika loomine"". Küll aga on kursused, mis võivad seda teemat katta või sellega seotud olla:

*   **Muusika kriitika (P2VK.02.510)**: Käsitletakse muusikakriitika erinevaid vorme, vastutust ja objektiivsust, ning saadakse praktilist kirjutamiskogemust.
*   **Lõpueksam (rütmimuusika) (HVVK.02.111)**: Loov-praktiline lõputöö on loominguline projekt (nt kontsert, etendus) koos kirjaliku tööga.
*   **Lõpueksam (pärimusmuusika) (HVVK.02.112)**: Loov-praktiline lõputöö koosneb praktilisest (kontsert, lavastus, projekt) ja teoreetilisest osast.
*   **Improvisatsioon (P2VK.02.728)**: Muusikaliste võimete ja loominguliste oskuste arendamine, improviseerimistehnikate õppimine.",👎 Halb,Otsing leidis valed ained (RAG viga)
2026-03-01 18:29:15,aine kus saab õppida muusikat või muusikaajalugu.,"EAP:(0.0, 36.0), Sem:[], Hind:[], Linn:[], Aste:[], Veeb:[], Eeldusaineteta:False","['P2VK.02.515', 'HVVK.00.117', 'HVVK.00.112', 'P2VK.05.144', 'ARTH.02.056']",[],"
Siin on kursused, mis sobivad sinu otsingule:

*   **Muusikaajalugu (P2VK.02.515):** Annab ülevaate Euroopa kunstmuusikast keskajast tänapäevani, keskendudes stiilide ja kuulmise eristamisele.
*   **Muusikalugu (HVVK.00.117):** Ülevaade muusikaajaloost.
*   **TUNE: Traditional Music Beyond Borders, Online Course (HVVK.00.112):**  Teoreetiline ja praktiline sissejuhatus Euroopa regionaalsetesse muusikatraditsioonidesse.
*   **Võrdlev kultuurilugu muusikas (P2VK.05.144):** Tutvustab maailma kultuure läbi traditsioonilise muusika.",👍 Hea,
2026-03-01 18:47:08,music history,"EAP:(0.0, 36.0), Sem:[], Hind:[], Linn:[], Aste:[], Veeb:[], Eeldusaineteta:False","['P2VK.02.515', 'HVVK.00.117', 'P2VK.02.510', 'P2VK.05.144', 'HVVK.00.112']",[],"Millist informatsiooni sa muusikalooga seoses soovid? Palun täpsusta oma küsimust. Ma võin sulle anda infot kursuste kohta:

*   **Muusikaajalugu (P2VK.02.515):** Annab ülevaate Euroopa kunstmuusikast keskajast tänapäevani, rõhuga stiilide äratundmisele.
*   **Muusikalugu (HVVK.00.117):** Sisaldab informatsiooni aine läbitud õppija kohta.
*   **Võrdlev kultuurilugu muusikas (P2VK.05.144):** Tutvustab maailma kultuure läbi traditsioonilise muusika ja kultuurikontekstide.
*   **TUNE: Traditional Music Beyond Borders, Online Course (HVVK.00.112):** Pakub teoreetilist ja praktilist sissejuhatust Euroopa rahvaste muusikatraditsioonidesse.",👍 Hea,
2026-03-01 18:48:27,"soovin veebipõhist 3 või 6 eap bak aseme informaatika või matemaatika kursust, mis toimuks tartus ja oleks sobilik algajale","EAP:(0.0, 36.0), Sem:[], Hind:[], Linn:[], Aste:[], Veeb:[], Eeldusaineteta:False","['HVLC.09.038', 'MTAT.07.028', 'ARST.01.107', 'MTAT.03.206', 'HVVK.12.010']",[],"
Vabandust, andmebaasis ei leidu mingeid kursusi, mis vastaksid täpselt sinu kriteeriumitele (muusikateooria, veebipõhine, 3 või 6 EAP, bakalaureuse taseme, informaatika või matemaatika, Tartus, algajale). 

Lähimad vastused on:

*   **ARST.01.107 Infotehnoloogia** (2 EAP, Tartu linn, bakalaureuseõpe) - See kursus on arstiteadusele, kuid annab arvutialaseid baasteadmisi, mis võiksid olla algajale sobivad.
* **MTAT.07.028 Infoturve** (3 EAP, kevadsemester, eesti keel) – See kursus on suunatud mitte-informaatikutele ja annab ülevaate infoturbe probleemidest. See võib olla hea sissejuhatus teemasse.

Paraku ei ole andmebaasis muid kursusi, mis tähendaksid just ""muusikateooriat"" või ""muusikajalugu"". Soovitaksin otsida lisaülikooli kodulehelt või otse õppejõududelt.
",👎 Halb,Otsing leidis valed ained (RAG viga)
2026-03-01 18:49:21,idufirma või startup või ettevõtlus algajatele,"EAP:(0.0, 36.0), Sem:[], Hind:[], Linn:[], Aste:[], Veeb:[], Eeldusaineteta:False","['MTAT.03.293', 'SVPC.01.074', 'P2NC.01.050', 'LTMR.00.001', 'MJJV.11.001']",[],"
Siin on kursused, mis sobivad algajatele, kes on huvitatud idufirmast, startupist või ettevõtlusest:

*   **Sissejuhatus tarkvaraettevõtlusse** (MTAT.03.293): See kursus aitab teil välja mõelda ja alustada toote või teenust pakkuvat ettevõtet, lähtudes ""kõhna idufirma"" põhimõtteist. Õpitakse klientide probleemide avastamist, väärtuspakkumise defineerimist ja valideerimist, ning algse prototüübi loomist.
*   **Ettevõtlusega alustamine** (SVPC.01.074):  Antakse teadmised äriideede arendamisest, analüüsimisest, hindamisest ja rakendamisest. Õpetatakse digitaalsete tehnoloogiate kasutamist ettevõtluses ning äriprotsesside optimeerimist.
*   **Ettevõtlusega alustamine** (P2NC.01.050): See kursus annab ülevaate ettevõtluse olemusest, ettevõtlusprotsessist ja erinevatest ärimudelitest. 
*   **Ettevõtluse alused I** (MJJV.11.001):  Tutvutakse ettevõtlusmaailma ideede ja põhimõtetega, töökatete rolliga, ettevõtliku mõtteviisiga, ja äriideede arendamise/hindamisega.",👍 Hea,
2026-03-01 18:51:00,01100001 01101001 00100000 01100001 01101001 01101110 01100101,"EAP:(0.0, 36.0), Sem:[], Hind:[], Linn:[], Aste:[], Veeb:[], Eeldusaineteta:False","['MTMS.01.010', 'LTMS.00.015', 'HVLC.08.024', 'HTOS.02.451', 'HVLC.08.026']",[],"

Vabandust, aga ma ei saa aru, mida sa küsid. Palun esita oma küsimus selgemalt või kasuta keel, mida ma mõistan. Ma võin vastata ainult siin pakutud kursuste andmete põhjal.
",👎 Halb,Otsing leidis valed ained (RAG viga)
2026-03-01 18:52:06,ascii: 97 105 32 97 105 110 101 ,"EAP:(0.0, 36.0), Sem:[], Hind:[], Linn:[], Aste:[], Veeb:[], Eeldusaineteta:False","['FLLC.09.009', 'FLLC.09.009_1', 'MTAT.03.256', 'LTAT.03.005', 'HVLC.09.054_1']",[],"
Vabandust, ma ei saa aru, mida sa palud. Kas saaksid oma küsimuse ümber sõnastada?",👎 Halb,Otsing leidis valed ained (RAG viga)
2026-03-01 18:53:16,Molekulaarbioloogia,"EAP:(0.0, 36.0), Sem:[], Hind:[], Linn:[], Aste:[], Veeb:[], Eeldusaineteta:False","['LOMR.05.008', 'LOMR.05.008_1', 'LTMR.06.004', 'LTMR.05.001', 'LOMR.01.003']",[],"
Siin on kursused, mis sobivad otsingumärksõnaga ""Molekulaarbioloogia"":

*   **Molekulaarbioloogia** (LOMR.05.008 & LOMR.05.008_1) - Annab põhjaliku ülevaate geneetilise informatsiooni ülekande protsessidest (replikatsioon, transkriptsioon, translatsioon) ja põhilistest meetoditest.
*   **Molekulaarbioloogia alused** (LTMR.05.001) - Ülevaade molekulide struktuuri ja funktsioonide seostest geneetilise teabe ülekandes.
* **Molekulaarne rakubioloogia** (LTMR.06.004) – Kontsentreeritud ülevaade molekulaarsetest protsessidest rakkudes, mis on aluseks rakkude kohastumisele ja signalisatsioonile.",👍 Hea,
2026-03-01 18:53:39,Ökoloogia,"EAP:(0.0, 36.0), Sem:[], Hind:[], Linn:[], Aste:[], Veeb:[], Eeldusaineteta:False","['LTOM.01.014', 'LOOM.01.073', 'LOKT.04.016', 'LTOM.02.072', 'LOOM.02.333']",[],"
Vabandust, aga kursuste loendis ei ole otseselt ""Molekulaarbioloogiat"". Seal on aga kaks ökoloogiaga seotud kursust, mida ma võin kirjeldada:

**1. LTOM.01.014 Ökoloogia alused õpetajatele**

*   **Kirjeldus:** Kursusel käsitletakse ökoloogia aluseid (autökoloogia, sünökoloogia, demökoloogia ja süsteemökoloogia), mida seostatakse igapäevaeluliste probleemidega inimühiskonnas, loodus- ja keskkonnakaitsega. Antakse ülevaate ökoloogilise teadmise arengusuundadest ja Eesti teadlaste panusest.
*   **Eesmärgid:** Anda ülevaade ökoloogia põhitõdedest, mis on vajalikud õpetajatöös põhikoolis ja gümnaasiumis. Anda põhiteadmised ökoloogilistest seaduspäradest looduses ja inimühiskonnas, seostatuna teiste teadustega (evolutsioon, keskkonnateadused, sotsiaalteadused jne.).

**2. LOOM.01.073 Ökoloogia rakendusi**

*   **Kirjeldus:** Aines käsitletakse näiteid ökoloogia rakendustest põllumajanduses, metsanduses, haljastuses ja keskkonnakaitses. Vaadeldakse, kuidas teoreetilistest üldistustest jõutakse praktiliste lahendusteni.
*   **Eesmärgid:** Ökoloogia rakenduste kursus valmistab ette spetsialiste, kes oskavad lähtuvalt teoreetilisest ökoloogiast leida konkreetseid praktilisi ja jätkusuutlikke lahendusi sellistes valdkondades nagu põllumajandus, metsandus, jahindus ja keskkonnakaitse.

 Kuna ""Molekulaarbioloogiat"" ei ole, siis ei saa ma selle kohta infot anda.",👍 Hea,
2026-03-01 18:53:55,Geoloogia,"EAP:(0.0, 36.0), Sem:[], Hind:[], Linn:[], Aste:[], Veeb:[], Eeldusaineteta:False","['LOOM.03.124', 'LOOM.03.078', 'LOOM.03.121', 'LTOM.03.005', 'LOOM.02.143']",[],"
Vabandust, aga pakutud kursuste nimekirjas ei ole kursusi, mis vastaksid sinu küsitlusele ""Molekulaarbioloogia"", ""Ökoloogia"" ja ""Geoloogia"". Pakutud kursuste hulgas on ainult geoloogilised kursused:

*   **LOOM.03.124** Geotektoonika ja regionaalgeoloogia
*   **LOOM.03.078** Ehitusgeoloogia
*   **LOOM.03.121** Ajalooline geoloogia
*   **LTOM.03.005** Geoloogiline kaardistamine ning regionaal- ja struktuurigeoloogiline välipraktika",👍 Hea,
2026-03-01 18:54:13,Neuroteadus,"EAP:(0.0, 36.0), Sem:[], Hind:[], Linn:[], Aste:[], Veeb:[], Eeldusaineteta:False","['MVBS.03.006', 'ARFS.01.069', 'SVHI.03.035', 'ARNR.01.031', 'ARNR.01.024']",[],"
Neuroteadust puudutavad kursused on:

*   **MVBS.03.006** Nimi_et: Närviteadus, Nimi_en: Neuroscience (doktoriõpe, sügis)
*   **ARFS.01.069** Nimi_et: Närviteadus, Nimi_en: Neuroscience (magistriõpe, doktoriõpe, sügis)
*   **SVHI.03.035** Nimi_et: Õppimine, õpetamine ja närviteadus, Nimi_en: Learning, Teaching and Neuroscience (doktoriõpe, kevad)
*   **ARNR.01.031** Nimi_et: Neuroloogia ja neurokirurgia, Nimi_en: Neurology and Neurosurgery (doktoriõpe, kevad)
*   **ARNR.01.024** Nimi_et: Neuroloogia, Nimi_en: Neurology (integreeritud bakalaureuse- ja magistriõpe, sügis)",👎 Halb,LLM hallutsineeris/vastas valesti
2026-03-01 18:55:02,Andmeanalüüs Pythoniga,"EAP:(0.0, 36.0), Sem:[], Hind:[], Linn:[], Aste:[], Veeb:[], Eeldusaineteta:False","['HVEE.04.028', 'MTMS.01.069', 'MVPT.00.009', 'MVPT.00.009_1', 'SVNC.00.228']",[],"
Vabandust, andmeanalüüs Pythoniga otse kursusena ei ole saadaval. Küll on aga olemas kursus **Programmeerimine Pythonis tekstiandmetega (HVEE.04.028)**, mis täiendab esmast programmeerimisoskust Pythonis, sealhulgas andmestruktuuride ja teksti töötlemisega. See võib olla hea alus edaspidiseks andmeanalüüsiks Pythonis.
",👎 Halb,LLM hallutsineeris/vastas valesti
2026-03-01 18:55:23,Masinõpe,"EAP:(0.0, 36.0), Sem:[], Hind:[], Linn:[], Aste:[], Veeb:[], Eeldusaineteta:False","['MTAT.03.227', 'SVNC.00.085', 'LTAT.02.004', 'LTAT.01.003', 'LTAT.02.040']",[],"
Vabandust, andmeanalüüs Pythoniga kursuse kohta andmed puuduvad. Küll aga on olemas järgmised masinõppe kursused:

*   **Masinõpe** (unique\_ID 2055): Magistri- ja doktoriõpe, sügissemester. Hindamismeetod: Eristav (A, B, C, D, E, F, mi). Kurusel käsitletakse masinõppe põhiprintsiipe ja meetodeid, keskendudes juhendatud õppe algoritmidele (otsustuspuud, lineaarsed mudelid, kaugus-põhised mudelid, tõenäosuslikud mudelid, ansambelmudelid ja tehisneurovõrgud).
*   **Masinõpe ja närvivõrgud** (unique\_ID 2453): Rakenduskõrgharidusõpe, sügissemester. Hindamismeetod: Eristamata (arv, m.arv, mi). Sisaldab juhendatud ja juhendamata õpet, parimaid tavasid masinõppes ning rakendusi nutirobotite, teksti mõistmise ja arvutinägemise alal.
*   **Masinõpe II** (unique\_ID 1703): Magistriõpe, kevadsemester. Hindamismeetod: Eristav (A, B, C, D, E, F, mi). Laiendab masinõppe meetodite teoreetilisi aluseid. Eeldab varasemat teavet andmeanalüüsist või masinõppest.
*   **Projektipõhine sissejuhatus masinõppesse (veebikursus)** (unique\_ID 1615): Bakalaureuse-, magistri- ja rakenduskõrgharidusõpe, kevadsemester. Hindamismeetod: Eristamata (arv, m.arv, mi). Praktiline sissejuhatus masinõppesse erinevate valdkondade üliõpilastele, keskendudes andmete töötlemisele, põhiliste masinõppemeetodite rakendamisele ja mudelite hindamisele.",👎 Halb,LLM hallutsineeris/vastas valesti
